"Street Address","Suburb","State","Postcode","Property Type","Bed","Bath","Car","Land Size (m²)","Floor Size (m²)","Year Built","Sale Price","Sale Date","Sale Type","Agency","Land Use","Development Zone","Parcel Details","Owner Type","Open in RPData"
"2/17 WALKER AVENUE ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","1","1","551","100","1990","$620,000","19 Dec 2018","-","MJ Docking & Associates - Vermont","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/SP32747","Owner Occupied","https://rpp.corelogic.com.au/property/2-17-walker-avenue-mitcham-vic-3132/11859945"
"114/435-439 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","1","3,180","91","2011","$537,000","19 Dec 2018","-","Noel Jones Mitcham","Single Strata Unit/Villa Unit/Townhouse","Residential Growth Zone - Schedule 2","G14/PS629194","Owner Occupied","https://rpp.corelogic.com.au/property/114-435-439-whitehorse-road-mitcham-vic-3132/17156330"
"16 CHASTA CRESCENT ","MITCHAM","VIC","3132","House","3","2","1","724","99","1950","$835,000","18 Dec 2018","-","Barry Plant Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","27/LP42200","Rented","https://rpp.corelogic.com.au/property/16-chasta-crescent-mitcham-vic-3132/11848083"
"15 PAGE STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","676","-","-","$1,150,000","18 Dec 2018","-","Noel Jones - Mitcham","Detached Dwelling","General Residential Zone - Schedule 1","1/TP192549","Owner Occupied","https://rpp.corelogic.com.au/property/15-page-street-mitcham-vic-3132/11856321"
"LOT 18 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","House: Standard","3","1","2","311","-","1980","$700,000","15 Dec 2018","-","-","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","18/SP21521","Owner Occupied","https://rpp.corelogic.com.au/property/lot-18-doncaster-east-road-mitcham-vic-3132/36187999"
"9/45 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","311","128","1980","$700,000","15 Dec 2018","-","Jellis Craig Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","9/SP21521","Owner Occupied","https://rpp.corelogic.com.au/property/9-45-doncaster-east-road-mitcham-vic-3132/11849990"
"2/15 PEEL STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","310","144","-","$1,140,000","15 Dec 2018","-","Noel Jones - Mitcham","Detached Dwelling","General Residential Zone - Schedule 1","2/PS808672","Owner Occupied","https://rpp.corelogic.com.au/property/2-15-peel-street-mitcham-vic-3132/44882986"
"68 PERCY STREET ","MITCHAM","VIC","3132","House","4","2","1","641","287","2021","$815,000","14 Dec 2018","-","-","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/LP43487","Rented","https://rpp.corelogic.com.au/property/68-percy-street-mitcham-vic-3132/11856792"
"7 ALWYN COURT ","MITCHAM","VIC","3132","House: Standard","3","1","4","320","-","-","$0","12 Dec 2018","Nils And Wills","-","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/PS734491","Owner Occupied","https://rpp.corelogic.com.au/property/7-alwyn-court-mitcham-vic-3132/17880671"
"17 RUPERT STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","773","130","-","$830,000","12 Dec 2018","-","Noel Jones - Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","57/LP41887","Rented","https://rpp.corelogic.com.au/property/17-rupert-street-mitcham-vic-3132/11858186"
"46 WARNES ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","909","125","1965","$818,000","12 Dec 2018","-","Noel Jones - Ringwood & Croydon","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","114/LP8022","Owner Occupied","https://rpp.corelogic.com.au/property/46-warnes-road-mitcham-vic-3132/11860244"
"13/12 IRVINE STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","165","128","2012","$682,800","08 Dec 2018","-","Hudson Bond Real Estate","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","13/PS645199","Owner Occupied","https://rpp.corelogic.com.au/property/13-12-irvine-street-mitcham-vic-3132/16611622"
"10/12 IRVINE STREET ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","214","115","2012","$585,000","05 Dec 2018","-","Ray White Blackburn","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","10/PS645199","Rented","https://rpp.corelogic.com.au/property/10-12-irvine-street-mitcham-vic-3132/16202342"
"27/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$143,550","05 Dec 2018","-","GormanKelly","General Purpose Warehouse","-","27/PS425700","-","https://rpp.corelogic.com.au/property/27-14-simla-street-mitcham-vic-3132/48259093"
"4/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Office Building","-","-","-","4,155","-","-","$233,200","04 Dec 2018","-","-","General Purpose Warehouse","-","4B/PS425700","-","https://rpp.corelogic.com.au/property/4-14-simla-street-mitcham-vic-3132/48259070"
"8/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$233,200","03 Dec 2018","-","-","Com Dev Site","-","8/PS425700","-","https://rpp.corelogic.com.au/property/8-14-simla-street-mitcham-vic-3132/48259074"
"32 COLLINA STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","643","188","1950","$1,060,000","01 Dec 2018","-","WOODARDS REAL ESTATE","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","1/TP216224","Owner Occupied","https://rpp.corelogic.com.au/property/32-collina-street-mitcham-vic-3132/11848695"
"2/18 CARWEEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","183","114","2004","$0","30 Nov 2018","Nils And Wills","Barry Plant Manningham","Strata Unit or Flat  (Unspecified)","Neighbourhood Residential Zone - Schedule 3","2/PS522347","Owner Occupied","https://rpp.corelogic.com.au/property/2-18-carween-avenue-mitcham-vic-3132/11847716"
"26 IRENE CRESCENT ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","1","585","139","1965","$821,000","30 Nov 2018","-","Biggin & Scott Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","26/LP54919","Rented","https://rpp.corelogic.com.au/property/26-irene-crescent-mitcham-vic-3132/11852837"
"22/12 IRVINE STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","257","123","2012","$635,500","30 Nov 2018","-","Ray White Blackburn","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","22/PS645199","Rented","https://rpp.corelogic.com.au/property/22-12-irvine-street-mitcham-vic-3132/16243247"
"29/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$130,500","29 Nov 2018","-","Hudson Bond Commercial Pty. Ltd.","Retail Premises (single occupancy)","-","29/PS425700","-","https://rpp.corelogic.com.au/property/29-14-simla-street-mitcham-vic-3132/48259095"
"6/23A COOK ROAD ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","849","-","-","$2,475,000","26 Nov 2018","-","-","General Purpose Warehouse","Industrial 3 Zone","34/PS419742","-","https://rpp.corelogic.com.au/property/6-23a-cook-road-mitcham-vic-3132/17103864"
"28/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$143,550","26 Nov 2018","-","-","Open Area Storage","-","28/PS425700","-","https://rpp.corelogic.com.au/property/28-14-simla-street-mitcham-vic-3132/48259094"
"20 PERCY STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","2","645","301","2021","$820,000","24 Nov 2018","-","Ray White Forest Hill","Detached Dwelling","General Residential Zone - Schedule 2","5/LP19091","Owner Occupied","https://rpp.corelogic.com.au/property/20-percy-street-mitcham-vic-3132/11856634"
"1/5-7 CASELLA STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","4","234","162","2009","$842,000","23 Nov 2018","-","Noel Jones Mitcham","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 1","1/PS613318","Owner Occupied","https://rpp.corelogic.com.au/property/1-5-7-casella-street-mitcham-vic-3132/15902272"
"26/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$143,550","23 Nov 2018","-","-","Open Area Storage","-","26/PS425700","-","https://rpp.corelogic.com.au/property/26-14-simla-street-mitcham-vic-3132/48259092"
"6/14 SIMLA STREET ","MITCHAM","VIC","3132","Business: Wholesale Trade","-","-","-","4,155","-","-","$233,200","22 Nov 2018","-","-","General Purpose Warehouse","-","6/PS425700","-","https://rpp.corelogic.com.au/property/6-14-simla-street-mitcham-vic-3132/48259072"
"4 SUNSHINE AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","3","606","124","-","$970,000","22 Nov 2018","-","Noel Jones Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","48/LP27432","Owner Occupied","https://rpp.corelogic.com.au/property/4-sunshine-avenue-mitcham-vic-3132/11858901"
"537A WHITEHORSE ROAD ","MITCHAM","VIC","3132","Commercial: Retail Building","-","-","-","87","-","-","$860,000","22 Nov 2018","-","Gorman Commercial","Retail Premises (single occupancy)","Commercial 1 Zone","1/PS332064","-","https://rpp.corelogic.com.au/property/537a-whitehorse-road-mitcham-vic-3132/11860643"
"3/14 SIMLA STREET ","MITCHAM","VIC","3132","Land: Office/Retail","-","-","-","4,155","-","-","$233,200","21 Nov 2018","-","-","Com Dev Site","-","3A/PS425700","-","https://rpp.corelogic.com.au/property/3-14-simla-street-mitcham-vic-3132/48259069"
"10 SALVANA AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","580","150","1970","$940,000","19 Nov 2018","-","Noel Jones - Mitcham","Detached Dwelling","General Residential Zone - Schedule 1","17/LP64367","Owner Occupied","https://rpp.corelogic.com.au/property/10-salvana-avenue-mitcham-vic-3132/11858268"
"20 KAURI COURT ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","2","588","160","1960","$902,000","17 Nov 2018","-","Jellis Craig Blackburn","Detached Dwelling","General Residential Zone - Schedule 1","57/LP52157","Owner Occupied","https://rpp.corelogic.com.au/property/20-kauri-court-mitcham-vic-3132/11853020"
"537B WHITEHORSE ROAD ","MITCHAM","VIC","3132","Business: Retail Trade","-","-","6","87","72","-","$820,000","15 Nov 2018","-","GORMAN COMMERCIAL HAWTHORN EAST","Retail Premises (single occupancy)","Commercial 1 Zone","2/PS332064","-","https://rpp.corelogic.com.au/property/537b-whitehorse-road-mitcham-vic-3132/11860645"
"310/339 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit","1","1","1","1,784","57","2012","$387,000","13 Nov 2018","-","Jellis Craig Blackburn","Detached Dwelling","Commercial 1 Zone","310/PS703655","Owner Occupied","https://rpp.corelogic.com.au/property/310-339-mitcham-road-mitcham-vic-3132/17006017"
"5 HASLEMERE ROAD ","MITCHAM","VIC","3132","House","4","2","-","990","285.11","2020","$980,000","10 Nov 2018","-","Noel Jones Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/LP36071","Owner Occupied","https://rpp.corelogic.com.au/property/5-haslemere-road-mitcham-vic-3132/11852085"
"23/14 SIMLA STREET ","MITCHAM","VIC","3132","Business: Wholesale Trade","-","-","-","4,155","-","-","$143,550","07 Nov 2018","-","-","General Purpose Warehouse","-","23/PS425700","-","https://rpp.corelogic.com.au/property/23-14-simla-street-mitcham-vic-3132/48259089"
"103/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Office Building","-","-","2","4,155","-","-","$493,900","02 Nov 2018","-","-","Office Premises","-","53/PS425700","-","https://rpp.corelogic.com.au/property/103-14-simla-street-mitcham-vic-3132/48259119"
"CARWEEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","322","-","1990","$550,000","31 Oct 2018","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","5/SP23725","Owner Occupied","https://rpp.corelogic.com.au/property/carween-avenue-mitcham-vic-3132/34382775"
"1/62 CARWEEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","142","77","1990","$550,000","31 Oct 2018","-","Noel Jones Mitcham","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","1/SP23725","Owner Occupied","https://rpp.corelogic.com.au/property/1-62-carween-avenue-mitcham-vic-3132/11847914"
"16/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$130,500","30 Oct 2018","-","Hudson Bond Commercial Pty. Ltd.","Retail Premises (single occupancy)","-","16/PS425700","-","https://rpp.corelogic.com.au/property/16-14-simla-street-mitcham-vic-3132/48259082"
"CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","799","72","1975","$425,000","27 Oct 2018","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","9/RP10951","Owner Occupied","https://rpp.corelogic.com.au/property/creek-road-mitcham-vic-3132/36364130"
"1/2-4 CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","58","57","1978","$425,000","27 Oct 2018","-","Coronis Boronia","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","1/RP10951","Rented","https://rpp.corelogic.com.au/property/1-2-4-creek-road-mitcham-vic-3132/11848889"
"1/1 PURCHES STREET ","MITCHAM","VIC","3132","Unit: Standard","3","1","2","461","-","1970","$713,000","27 Oct 2018","-","Fletchers Manningham","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","1/PS634991","Rented","https://rpp.corelogic.com.au/property/1-1-purches-street-mitcham-vic-3132/15905257"
"26 VICTORIA AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","2","365","160","2006","$920,000","27 Oct 2018","-","Ray White Blackburn","Detached Dwelling","General Residential Zone - Schedule 1","1/PS541578","Owner Occupied","https://rpp.corelogic.com.au/property/26-victoria-avenue-mitcham-vic-3132/11859791"
"114B/1 COLOMBO STREET ","MITCHAM","VIC","3132","Unit: Standard","1","1","1","3,890","52","2012","$305,000","24 Oct 2018","-","Ray White Real Estate Mitcham","Single Strata Unit/Villa Unit/Townhouse","Mixed Use Zone","104B/PS632398","Rented","https://rpp.corelogic.com.au/property/114b-1-colombo-street-mitcham-vic-3132/16158264"
"22 BARKLY TERRACE ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","1","622","207","1930","$950,000","23 Oct 2018","-","Ray White Real Estate Mitcham","Detached Dwelling","General Residential Zone - Schedule 2","1/TP368854","Rented","https://rpp.corelogic.com.au/property/22-barkly-terrace-mitcham-vic-3132/11846723"
"10 DELHI STREET ","MITCHAM","VIC","3132","Unit: Standard","3","2","1","182","156","-","$791,250","23 Oct 2018","-","Noel Jones Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","2/PS430596","Rented","https://rpp.corelogic.com.au/property/10-delhi-street-mitcham-vic-3132/11846927"
"1/7 COMPTON STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","2","211","110","-","$693,000","20 Oct 2018","-","Bekdon Richards","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","1/PS325457","Owner Occupied","https://rpp.corelogic.com.au/property/1-7-compton-street-mitcham-vic-3132/11848715"
"1A LINLITHGOW STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","315","92","1985","$795,000","20 Oct 2018","-","Noel Jones Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/SP29497","Rented","https://rpp.corelogic.com.au/property/1a-linlithgow-street-mitcham-vic-3132/11853174"
"5/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$247,500","19 Oct 2018","-","-","General Purpose Warehouse","-","5/PS425700","-","https://rpp.corelogic.com.au/property/5-14-simla-street-mitcham-vic-3132/48259071"
"22 VICTORIA AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","1","3","590","120","1980","$800,000","16 Oct 2018","-","Ray White Real Estate Mitcham","Detached Dwelling","General Residential Zone - Schedule 1","2/PS300549","Rented","https://rpp.corelogic.com.au/property/22-victoria-avenue-mitcham-vic-3132/34399154"
"13 MOUNTFIELD ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","6","3","5","662","-","1970","$910,000","15 Oct 2018","-","Woodards - Manningham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","227/LP26189","Rented","https://rpp.corelogic.com.au/property/13-mountfield-road-mitcham-vic-3132/11855314"
"24 WALWA STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","1","705","207","-","$996,000","13 Oct 2018","-","Fletchers Manningham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","169/LP11819","Owner Occupied","https://rpp.corelogic.com.au/property/24-walwa-street-mitcham-vic-3132/11860090"
"5 MUNRO STREET ","MITCHAM","VIC","3132","House","5","3","2","1,158","291","1970","$1,190,000","10 Oct 2018","-","Jellis Craig - Doncaster","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","274/LP8809","Rented","https://rpp.corelogic.com.au/property/5-munro-street-mitcham-vic-3132/11855383"
"48/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$266,000","10 Oct 2018","-","-","Open Area Storage","-","48/PS425700","-","https://rpp.corelogic.com.au/property/48-14-simla-street-mitcham-vic-3132/48259114"
"1/605-611 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","684","-","-","$2,574,000","10 Oct 2018","-","Cameron - Eastern Office","Retail Premises (single occupancy)","Commercial 2 Zone","1/PS421398","-","https://rpp.corelogic.com.au/property/1-605-611-whitehorse-road-mitcham-vic-3132/11860800"
"LOT 4 DEEP CREEK ROAD ","MITCHAM","VIC","3132","House: Standard","3","1","2","378","-","1980","$640,000","09 Oct 2018","-","-","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","4/RP6529","Owner Occupied","https://rpp.corelogic.com.au/property/lot-4-deep-creek-road-mitcham-vic-3132/35733802"
"2/19 DEEP CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","397","124","1980","$640,000","09 Oct 2018","-","Fletchers - Manningham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/RP6529","Owner Occupied","https://rpp.corelogic.com.au/property/2-19-deep-creek-road-mitcham-vic-3132/11849623"
"42 ALWYN STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","654","119","-","$1,205,000","06 Oct 2018","-","Noel Jones Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","104/LP17899","Rented","https://rpp.corelogic.com.au/property/42-alwyn-street-mitcham-vic-3132/11846449"
"61 BARKLY TERRACE ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","1","218","124","2003","$682,000","06 Oct 2018","-","Noel Jones Mitcham","Detached Dwelling","General Residential Zone - Schedule 2","2/PS507120","Rented","https://rpp.corelogic.com.au/property/61-barkly-terrace-mitcham-vic-3132/11846797"
"35/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$143,550","06 Oct 2018","-","-","Open Area Storage","-","35/PS425700","-","https://rpp.corelogic.com.au/property/35-14-simla-street-mitcham-vic-3132/48259101"
"40/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$233,200","06 Oct 2018","-","-","Open Area Storage","-","40/PS425700","-","https://rpp.corelogic.com.au/property/40-14-simla-street-mitcham-vic-3132/48259106"
"5/21-23 BARKLY TERRACE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","128","97","2017","$761,000","05 Oct 2018","-","OBrien Real Estate Keysborough","Strata Unit or Flat  (Unspecified)","General Residential Zone - Schedule 2","5/PS812078","Owner Occupied","https://rpp.corelogic.com.au/property/5-21-23-barkly-terrace-mitcham-vic-3132/44398515"
"COPPIN CLOSE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","724","-","1980","$638,000","04 Oct 2018","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","8/SP20570","Owner Occupied","https://rpp.corelogic.com.au/property/coppin-close-mitcham-vic-3132/34391493"
"4/8 COPPIN CLOSE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","178","91","1980","$638,000","04 Oct 2018","-","Barry Plant Blackburn","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","4/SP20570","Rented","https://rpp.corelogic.com.au/property/4-8-coppin-close-mitcham-vic-3132/11848867"
"7/27 THORNTON CRESCENT ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","5,929","-","-","$869,000","01 Oct 2018","-","CVA Property Consultants - Melbourne","General Purpose Warehouse","Industrial 1 Zone","7/PS322929","-","https://rpp.corelogic.com.au/property/7-27-thornton-crescent-mitcham-vic-3132/11859255"
"22 BEAUFORT STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","4","845","105","1985","$739,000","30 Sep 2018","-","Ray White Real Estate Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","68/LP21039","Owner Occupied","https://rpp.corelogic.com.au/property/22-beaufort-street-mitcham-vic-3132/11846893"
"101/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Office Building","-","-","2","4,155","-","-","$401,500","26 Sep 2018","-","-","Open Area Storage","-","51/PS425700","-","https://rpp.corelogic.com.au/property/101-14-simla-street-mitcham-vic-3132/48259117"
"21 DENIS STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","5","2","3","950","224","-","$1,200,000","25 Sep 2018","-","Philip Webb Real Estate Doncaster","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","5/LP135069","Owner Occupied","https://rpp.corelogic.com.au/property/21-denis-street-mitcham-vic-3132/11849733"
"1/24 DUDLEY STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","304","155","2000","$850,000","25 Sep 2018","-","Jellis Craig - Whitehorse","Semi-Detached/Terrace Home/Row House","Neighbourhood Residential Zone - Schedule 3","1/PS605724","Rented","https://rpp.corelogic.com.au/property/1-24-dudley-street-mitcham-vic-3132/14423674"
"12/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$143,550","25 Sep 2018","-","-","Open Area Storage","-","12/PS425700","-","https://rpp.corelogic.com.au/property/12-14-simla-street-mitcham-vic-3132/48259078"
"105/14 SIMLA STREET ","MITCHAM","VIC","3132","Business: Retail Trade","-","-","-","4,155","-","-","$410,300","25 Sep 2018","-","-","Retail Premises (single occupancy)","-","55/PS425700","-","https://rpp.corelogic.com.au/property/105-14-simla-street-mitcham-vic-3132/48259121"
"3 NYMPH STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","667","201","1955","$1,370,000","22 Sep 2018","-","Noel Jones Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","155/LP11819","Owner Occupied","https://rpp.corelogic.com.au/property/3-nymph-street-mitcham-vic-3132/11855553"
"18 OMEGA COURT ","MITCHAM","VIC","3132","House: One Storey / Lowset","5","2","6","1,334","224","-","$1,100,000","22 Sep 2018","-","Philip Webb Ringwood","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","17/LP138109","Owner Occupied","https://rpp.corelogic.com.au/property/18-omega-court-mitcham-vic-3132/11855677"
"21 OWEN STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","3","1","604","335","2017","$1,884,000","22 Sep 2018","-","hockingstuart Balwyn & Hawthorn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","85/LP17076","Rented","https://rpp.corelogic.com.au/property/21-owen-street-mitcham-vic-3132/11856213"
"2 HOLLY COURT ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","1","726","178","1960","$1,216,800","21 Sep 2018","-","Hoskins P/L","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","19/LP41887","Rented","https://rpp.corelogic.com.au/property/2-holly-court-mitcham-vic-3132/11852586"
"1/21 FORSTER STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","206","68","1960","$530,000","20 Sep 2018","-","Methven - Mooroolbark","Detached Dwelling","General Residential Zone - Schedule 2","3/PS308510","Rented","https://rpp.corelogic.com.au/property/1-21-forster-street-mitcham-vic-3132/14772566"
"38/14 SIMLA STREET ","MITCHAM","VIC","3132","Commercial: Industrial Building","-","-","-","4,155","-","-","$233,200","20 Sep 2018","-","-","Open Area Storage","-","38/PS425700","-","https://rpp.corelogic.com.au/property/38-14-simla-street-mitcham-vic-3132/48259104"
"8 BEAUFORT STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","811","205","-","$1,120,000","17 Sep 2018","-","Fletchers - Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","49/LP21039","Owner Occupied","https://rpp.corelogic.com.au/property/8-beaufort-street-mitcham-vic-3132/11846861"
"4/21-23 BARKLY TERRACE ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","1","1","144","102","2019","$740,000","15 Sep 2018","-","OBRIEN REAL ESTATE","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","4/PS812078","Owner Occupied","https://rpp.corelogic.com.au/property/4-21-23-barkly-terrace-mitcham-vic-3132/44398514"
"2/63 ORIENT AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","2","236","107","2006","$750,500","15 Sep 2018","-","Biggin & Scott Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/PS539421","Rented","https://rpp.corelogic.com.au/property/2-63-orient-avenue-mitcham-vic-3132/11855932"
"3 SUNSHINE AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","397","168","2014","$1,150,000","15 Sep 2018","-","Noel Jones Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/PS630679","Rented","https://rpp.corelogic.com.au/property/3-sunshine-avenue-mitcham-vic-3132/11858899"
"16 MUNRO STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","534","111","1965","$0","11 Sep 2018","Nils And Wills","Barry Plant Manningham","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 3","16/LP72188","Owner Occupied","https://rpp.corelogic.com.au/property/16-munro-street-mitcham-vic-3132/11855408"
"54 CREEK ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","795","125","1960","$960,000","10 Sep 2018","-","Barry Plant Blackburn","Detached Dwelling","General Residential Zone - Schedule 2","1/PS402873","Owner Occupied","https://rpp.corelogic.com.au/property/54-creek-road-mitcham-vic-3132/11849078"
"27 ORIENT AVENUE ","MITCHAM","VIC","3132","House","4","2","2","799","249","2019","$886,500","10 Sep 2018","-","MJ Docking & Associates - Vermont","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","1/LP19406","Owner Occupied","https://rpp.corelogic.com.au/property/27-orient-avenue-mitcham-vic-3132/11855832"
"BRUNSWICK ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","-","-","137","111","1977","$565,000","08 Sep 2018","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","5/RP4777","Owner Occupied","https://rpp.corelogic.com.au/property/brunswick-road-mitcham-vic-3132/34385371"
